"StationNumber","YYYYMMDD","DDVEC","FHVEC",   "FG",  "FHX", "FHXH",  "FHN", "FHNH",  "FXX", "FXXH",   "TG",   "TN",  "TNH",   TX",  "TXH", "T10N","T10NH",   "SQ",   "SP",    "Q",   "DR",   "RH",  "RHX", "RHXH",   "PG",   "PX",  "PXH",   "PN",  "PNH",  "VVN", "VVNH",  "VVX", "VVXH",   "NG",   "UG",   "UX",  "UXH",   "UN",  "UNH", "EV24"
209,20220528,  338,   89,   90,  100,    2,   80,    1,  140,    5,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
225,20220528,  330,   93,   94,  110,    3,   80,   12,  140,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
229,20220528,  326,  103,  103,  120,    1,   90,   11,  150,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
235,20220528,  322,   63,   63,   70,    2,   40,   21,  120,    1,  120,  103,   21,  146,   13,   94,   24,  118,   72, 2492,    0,   -1,   -1,    1,10211,10225,   10,10180,   24,   71,   16,   80,    3,    5,   67,   77,   16,   56,    9,   38
240,20220528,  320,   56,   57,   80,   10,   20,   21,  120,    7,  117,   72,   24,  159,   13,   39,   24,  117,   72, 2423,    4,    6,    6,   18,10215,10228,    8,10186,   24,   70,    1,   81,    7,    4,   69,   86,   24,   54,   14,   37
242,20220528,  326,  106,  107,  120,    1,  100,    9,  160,    1,  122,   94,   24,  147,   13,   93,   24,     ,     ,     ,     ,     ,     ,     ,10208,10221,   10,10177,   24,   50,   24,   69,   12,    5,   70,   91,   24,   58,   10,     
248,20220528,  315,   57,   58,   80,   14,   30,   21,  130,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
249,20220528,  323,   58,   59,   80,    9,   30,   21,  140,   17,  115,   76,   23,  156,   11,   70,   24,  109,   67, 2297,    3,    1,    1,   17,     ,     ,     ,     ,     ,   70,   21,   81,   13,     ,   71,   87,   23,   52,   11,   35
251,20220528,  321,   83,   84,   90,    1,   70,   21,  150,    3,  117,   93,   23,  144,   13,   89,   24,   91,   55, 2240,   36,     ,     ,     ,10201,10214,   10,10171,   24,   60,   22,   77,   15,     ,   71,   90,   22,   63,   12,   34
257,20220528,     ,     ,     ,     ,     ,     ,     ,     ,     ,  122,  105,   23,  144,   13,   97,   24,  125,   76, 2602,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   66,   79,    1,   55,   13,   40
258,20220528,  325,   89,   91,  110,    2,   80,   11,  150,   17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
260,20220528,  315,   34,   35,   50,   10,   10,   23,  120,   18,  119,   55,   24,  162,   13,   19,   24,  106,   65, 2257,     ,    2,    1,   19,10212,10225,    8,10184,   24,     ,     ,     ,     ,    3,   70,   99,   23,   48,   12,   35
267,20220528,  323,   93,   95,  120,    1,   80,   12,  170,    1,  122,   97,   21,  146,   12,   92,   24,  125,   76, 2604,   17,   30,   14,   23,     ,     ,     ,     ,     ,   56,   23,   81,   14,    5,   72,   88,   23,   64,   14,   40
269,20220528,  325,   48,   50,   60,    1,   20,   23,  120,    1,  123,   90,   23,  153,   12,   83,   24,  105,   64, 2120,   18,   46,   23,   22,10208,10222,   10,10180,   24,   62,   22,   83,   18,    5,   67,   91,   22,   52,   11,   33
270,20220528,  315,   77,   78,   90,    7,   50,   22,  140,    9,  113,   88,   24,  145,   12,   78,   24,   65,   40, 1833,   16,   24,   14,   15,10198,10212,   11,10169,   24,   62,   15,   80,    8,    6,   72,   87,   22,   62,   12,   28
